date,room_num,room_name,members,prev_members,change
2026-05-09,23,채팅방 23,908,948.0,-40.0
2026-05-09,25,채팅방 25,902,1365.0,-463.0
2026-05-09,26,채팅방 26,970,1034.0,-64.0
2026-05-09,32,채팅방 32,1339,1378.0,-39.0
2026-05-09,33,채팅방 33 (빌딩2),918,954.0,-36.0
2026-05-09,34,채팅방 34 (사주2),166,169.0,-3.0
2026-05-09,35,채팅방 35 (사주3),587,597.0,-10.0
2026-05-09,36,채팅방 36 (타로2),469,1581.0,-1112.0
2026-05-09,37,채팅방 37 (부동산2),485,1908.0,-1423.0
2026-05-09,38,채팅방 38,721,655.0,66.0
2026-05-09,39,채팅방 39,1364,1386.0,-22.0
2026-05-09,40,채팅방 40,36,33.0,3.0
2026-05-09,41,채팅방 41,42,35.0,7.0
